Word,Num
teenytiny,60
says,50
wont,47
said,28
woman,27
went,24
get,23
little,22
dog,22
well,22
stick,20
came,19
fire,19
water,17
come,16
five,16
binnorie,15
home,14
ox,14
one,13
away,13
day,13
began,13
skeins,13
pig,12
stile,12
butcher,12
time,11
night,11
shant,11
tonight,11
kill,11
thats,11
got,10
piggy,10
bite,10
rope,10
em,10
tail,10
sister,9
go,9
ill,9
old,9
wouldnt,9
met,9
beat,9
rat,9
noo,9
flax,9
bonny,8
looked,8
never,8
sang,8
burn,8
girl,8
heard,8
shall,7
mine,7
put,7
harp,7
bone,7
quench,7
cat,7
aint,7
right,7
twirled,7
upon,6
see,6
hand,6
drink,6
gave,6
pies,6
last,6
thing,6
milldams,5
william,5
golden,5
hair,5
till,5
millstream,5
coming,5
youll,5
daughter,5
king,5
yonder,5
house,5
give,5
cow,5
darter,5
today,5
spun,5
every,5
black,5
window,5
name,5
taint,5
love,4
cried,4
princess,4
saw,4
father,4
could,4
harper,4
made,4
liked,4
take,4
supper,4
cupboard,4
sleep,4
voice,4
frightened,4
head,4
hang,4
milk,4
eat,4
ate,4
say,4
ha,4
month,4
dont,4
eyes,4
tomorrow,4
knocking,4
upped,4
oped,4
whats,4
guess,4
impet,4
nimmy,4
two,3
near,3
sir,3
glove,3
towards,3
morning,3
clear,3
bank,3
round,3
reach,3
floated,3
castle,3
milldam,3
theres,3
stopped,3
took,3
drowned,3
hear,3
sits,3
clothes,3
gnaw,3
hay,3
brought,3
know,3
set,3
door,3
spin,3
good,3
look,3
months,3
likes,3
thought,3
hed,3
however,3
room,3
shed,3
stool,3
dear,3
sat,3
next,3
food,3
flew,3
names,3
kings,2
lived,2
eldest,2
youngest,2
grew,2
fair,2
let,2
boats,2
stone,2
waist,2
ive,2
touch,2
cruel,2
sweet,2
sometimes,2
cooking,2
draw,2
stream,2
something,2
dam,2
lay,2
face,2
travelled,2
days,2
back,2
breastbone,2
hall,2
queen,2
first,2
joy,2
sing,2
low,2
mother,2
told,2
seen,2
singing,2
gone,2
gate,2
churchyard,2
bit,2
hid,2
louder,2
sixpence,2
fetch,2
saucer,2
haystack,2
soon,2
eaten,2
jumped,2
theyll,2
nothing,2
cant,2
bring,2
best,2
spinning,2
span,2
couldnt,2
tell,2
eleven,2
year,2
gowns,2
company,2
keep,2
getting,2
forgotten,2
think,2
mind,2
word,2
spinningwheel,2
havent,2
didnt,2
law,2
sort,2
acrying,2
youre,2
sure,2
husband,2
goes,2
hardly,2
ledge,2
ready,2
maliceful,2
faster,2
along,2
felt,2
fast,2
twirling,2
tom,2
tit,2
tot,2
ear,2
laughed,2
daughters,1
bower,1
wooing,1
plighted,1
troth,1
ring,1
cherry,1
cheeks,1
cared,1
longer,1
hated,1
taking,1
williams,1
hate,1
plotted,1
planned,1
rid,1
fine,1
us,1
fathers,1
rivers,1
watch,1
behind,1
caught,1
dashed,1
rushing,1
half,1
heir,1
land,1
shame,1
twixt,1
hearts,1
sink,1
sunk,1
beneath,1
turned,1
swimming,1
sinking,1
mill,1
millers,1
needed,1
floating,1
called,1
white—a,1
merry,1
maid,1
milkwhite,1
swan—coming,1
miller,1
hastened,1
heavy,1
millwheels,1
laid,1
beautiful,1
pearls,1
precious,1
stones,1
girdle,1
fringe,1
white,1
dress,1
lily,1
feet,1
beauty,1
famous,1
passed,1
pale,1
though,1
far,1
forgot,1
many,1
find,1
rest,1
bones,1
hill,1
gathered,1
great,1
harper—king,1
son,1
court,1
making,1
glad,1
sorrow,1
weep,1
presently,1
hushed,1
sung,1
stands,1
brother,1
hugh,1
false,1
true,1
wondered,1
lying,1
afterwards,1
loud,1
drownèd,1
snapped,1
broke,1
village,1
bonnet,1
walk,1
way,1
opened,1
grave,1
self,1
make,1
soup,1
pocket,1
tired,1
stairs,1
bed,1
awakened,1
loudest,1
sweeping,1
found,1
crooked,1
market,1
buy,1
handful,1
lapped,1
fright,1
baked,1
oven,1
overbaked,1
crusts,1
hard,1
shelf,1
leave,1
again—she,1
meant,1
crust,1
would,1
soft,1
work,1
suppertime,1
dare,1
theyve,1
dishes,1
worst,1
done,1
street,1
ashamed,1
instead,1
stars,1
want,1
wife,1
marry,1
shell,1
grand,1
marriage,1
thered,1
plenty,1
ways,1
likeliest,1
married,1
wonder,1
wholly,1
takes,1
shut,1
victuals,1
headll,1
business,1
always,1
gatless,1
much,1
nigh,1
help,1
kitchen,1
cry,1
sudden,1
small,1
long,1
curious,1
harm,1
everything,1
pay,1
corner,1
three,1
guesses,1
guessed,1
agree,1
locked,1
enough,1
sitting,1
wheres,1
evening,1
arm,1
bill,1
ned,1
mark,1
harder,1
used,1
mornings,1
evenings,1
trying,1
hit,1
end,1
yet,1
nicodemus,1
sammle,1
awell,1
methusalem,1
neither,1
looks,1
like,1
coal,1
horrid,1
passage,1
sees,1
reckon,1
another,1
hadnt,1
mouthful,1
stops,1
begins,1
laugh,1
awhy,1
ahunting,1
place,1
wood,1
id,1
chalkpit,1
kind,1
humming,1
hobby,1
quiet,1
pit,1
funniest,1
ever,1
wonderful,1
skin,1
panes,1
grinning,1
oo,1
solomon,1
pretending,1
afeard,1
zebedee,1
stretched,1
hands,1
backed,1
step,1
pointing,1
finger,1
awful,1
shriek,1
dark,1
